brand,product_name,source_channel,source_url,category_hint,priority,notes
Muzigae Mansion,오브제 워터 틴트,oliveyoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000185439,lip_makeup,2,"rank 11 · score 83 · public_reviews 3,100 · ★4.7 · interview 중 · split: 독보적 패키지 디자인, 무드 컬러 vs 패키징 내구성(샘), 건조함, 지속력 부족 · verified_by_user_current_oy_page"
Mediheal,마데카소사이드 흔적 패드,oliveyoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000244987,skincare_pad,2,"rank 12 · score 82 · public_reviews 6,548 · ★4.8 · interview 중 · split: 풍부한 에센스, 흔적 완화, 밀착력 vs 거즈 원단 거침, 닦토 시 물리적 자극 · risk: 기획/단품 혼합 가능성 · verified_by_user_current_oy_page · old_goodsNo=A000000205643 → new=A000000244987"
Round Lab,자작나무 수분 선크림,oliveyoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000149135,sunscreen,2,"rank 13 · score 81 · public_reviews 18,651 · ★4.8 · interview 중 · split: 백탁 없음, 에센스 같은 촉촉함 vs 지성 피부 시 번들거림, 일부 눈시림 존재 · risk: 다채로운 기획세트 존재 · verified_by_user_current_oy_page"
Clio,킬커버 메쉬 글로우 쿠션,oliveyoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000219278,base_makeup,3,"rank 14 · score 80 · public_reviews 13,317 · ★4.6 · interview 하 · split: 얇고 맑은 윤광, 수분감 vs 커버력 부족, 마스크 묻어남, 메쉬망 양 조절 실패 · risk: 대기업(Benchmark) · verified_by_user_current_oy_page · old_goodsNo=A000000174825 → new=A000000219278"
Manyo,퓨어 클렌징 오일,oliveyoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000107679,cleansing,3,"rank 15 · score 79 · public_reviews 10,761 · ★4.8 · interview 하 · split: 완벽한 메이크업 세정, 블랙헤드 완화 vs 무거운 제형, 꼼꼼한 유화 및 2차 세안 필수 · risk: 대기업(Benchmark) · verified_by_user_current_oy_page · old_goodsNo=A000000207444 → new=A000000107679"
rom&nd,쥬시 래스팅 틴트,oliveyoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000197490,lip_makeup,2,"rank 16 · score 78 · public_reviews 18,867 · ★4.7 · interview 중 · split: 오래 지속되는 광택, 가성비, 다양한 색상 vs 본통 색상과 실제 착색 다름, 요플레 현상 · risk: 아이패밀리에스씨 · verified_by_user_current_oy_page · old_goodsNo=A000000125431 → new=A000000197490"
Tocobo,바이오 워터리 선 크림,oliveyoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000179126,sunscreen,1,"rank 17 · score 77 · public_reviews 1,552 · ★4.6 · interview 상 · split: 산뜻함, 빠른 흡수, 밀림 없음 vs 리치한 잔여감, 특정 향취에 대한 강한 호불호 · risk: 선스틱 품목과 혼동 주의 · verified_by_user_current_oy_page · old_goodsNo=A000000164843 → new=A000000179126"
Jungsaemmool,에센셜 스킨 누더 쿠션,oliveyoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000139063,base_makeup,2,"rank 18 · score 76 · public_reviews 36,663 · ★4.7 · interview 중 · split: 본연의 피부 같은 맑은 광, 촉촉함 vs 높은 가격대, 시간 경과 후 주름 끼임 현상 · verified_by_user_current_oy_page · old_goodsNo=TODO → new=A000000139063"
Skinfood,캐롯 카로틴 카밍 워터 패드,oliveyoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000248098,skincare_pad,2,"rank 19 · score 75 · public_reviews 101,090 · ★4.8 · interview 중 · split: 극강의 보습, 찢어 쓰는 재미, 부드러움 vs 패드 찢을 때 보풀 발생, 닦토 용도로는 불편 · verified_by_user_current_oy_page · old_goodsNo=A000000231716 → new=A000000248098"
Banila Co,클린 잇 제로 클렌징 밤,oliveyoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000202675,cleansing,3,"rank 20 · score 73 · public_reviews 22,049 · ★4.7 · interview 하 · split: 흘러내리지 않는 밤 텍스처, 강력 딥 클렌징 vs 스파출라 보관/사용 번거로움, 용기 위생 · risk: 대기업(Benchmark) · verified_by_user_current_oy_page · old_goodsNo=A000000103477 → new=A000000202675"
