input_index,goods_no,source_url,public_review_count,actual_oy_title,actual_brand_guess,actual_category_guess,current_seed_rank,current_seed_brand,current_seed_product_name,mapping_status,operator_action,operator_target_seed_rank,operator_notes
11,A000000185439,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000185439,3100,무지개맨션 오브제 워터 틴트,무지개맨션 (Muzigae Mansion),워터 틴트,11,Muzigae Mansion,오브제 워터 틴트,actual_title_matches_seed,keep_current_mapping,11,
12,A000000244987,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000244987,6548,[장도연 PICK/1+1] 메디힐 마데카소사이드 흔적 리페어 더마크림 50+50ml 더블 기획,메디힐 (Mediheal),더마크림 (cream),12,Mediheal,마데카소사이드 흔적 패드,operator_confirmed_seed_replacement,replace_seed_product,12,operator confirmed actual OY product is intended candidate; update seed row to actual OY title
13,A000000149135,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000149135,18651,[1등썬] 라운드랩 자작나무 수분 선크림 50ml 기획(50ml+크림 20ml/50ml+클렌저 20ml),라운드랩 (Round Lab),선크림,13,Round Lab,자작나무 수분 선크림,actual_title_matches_seed,keep_current_mapping,13,
14,A000000219278,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000219278,13317,클리오 킬 커버 메쉬 글로우 에센셜 쿠션 기획 (리필+퍼프5개입 증정),클리오 (Clio),쿠션,14,Clio,킬커버 메쉬 글로우 쿠션,actual_title_matches_seed,keep_current_mapping,14,
15,A000000107679,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000107679,10761,마녀공장 퓨어 소이빈 클렌징 오일 200ml,마녀공장 (Manyo),클렌징 오일,15,Manyo,퓨어 클렌징 오일,actual_title_matches_seed,keep_current_mapping,15,
16,A000000197490,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000197490,18867,[로젤라이트 재출시] 에스쁘아 꾸뛰르 립틴트 글레이즈 21 colors,에스쁘아 (Espoir),립틴트,16,rom&nd,쥬시 래스팅 틴트,operator_confirmed_seed_replacement,replace_seed_product,16,operator confirmed actual OY product is intended candidate; update seed row to actual OY title
17,A000000179126,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000179126,1552,[수분선크림/화잘먹] 토코보 바이오 워터리 선크림 50mL SPF50+ PA++++,토코보 (Tocobo),선크림,17,Tocobo,바이오 워터리 선 크림,actual_title_matches_seed,keep_current_mapping,17,
18,A000000139063,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000139063,36663,[악마프2에디션/마지막수량] 정샘물 에센셜 스킨 누더 쿠션/본품+리필,정샘물 (Jungsaemmool),쿠션,18,Jungsaemmool,에센셜 스킨 누더 쿠션,actual_title_matches_seed,keep_current_mapping,18,
19,A000000248098,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000248098,101090,[망곰 콜라보/1+1한정] 스킨푸드 캐롯 카로틴 카밍 워터 패드 60매 더블기획 (+망곰 얼굴 파우치),스킨푸드 (Skinfood),워터 패드,19,Skinfood,캐롯 카로틴 카밍 워터 패드,actual_title_matches_seed,keep_current_mapping,19,
20,A000000202675,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000202675,22049,[1등 클렌징밤] 바닐라코 클린잇제로 오리지널 클렌징밤 100ml,바닐라코 (Banila Co),클렌징밤,20,Banila Co,클린 잇 제로 클렌징 밤,actual_title_matches_seed,keep_current_mapping,20,
